"Outcome","Emotion","Contrast","Parameter","Difference","CI_low","CI_high","pd","Credible","Effect"
"Authenticity","Positive - High intensity","AI-Generated - Human Original","confright",-0.00655471468726659,-0.0258247729061666,0.0122519659629559,0.746428571428571,FALSE,"n.s."
"Authenticity","Positive - High intensity","AI-Generated - Human Original","mu",-0.0134992543981158,-0.0551130020015979,0.029895595546858,0.731071428571429,FALSE,"n.s."
"Authenticity","Positive - High intensity","AI-Generated - Human Original","precleft",0.132242122,-0.52083858325,0.829785719999999,0.651428571428571,FALSE,"n.s."
"Authenticity","Positive - High intensity","AI-Generated - Human Original","precright",0.50509435,0.0376671813249999,1.0198332601,0.984642857142857,TRUE,"Positive"
"Authenticity","Positive - High intensity","AI-Generated - Human Original","response",-0.0112287654512274,-0.035769650914426,0.0144918196307175,0.81125,FALSE,"n.s."
"Authenticity","Positive - High intensity","Human Forgery - Human Original","confleft",0.0223760232725541,-0.00556383768619732,0.0503155234881537,0.94375,FALSE,"n.s."
"Authenticity","Positive - High intensity","Human Forgery - Human Original","confright",0.00571523237389693,-0.0137947388780201,0.0257330380854572,0.715357142857143,FALSE,"n.s."
"Authenticity","Positive - High intensity","Human Forgery - Human Original","mu",-0.0571379771203316,-0.0982124991147875,-0.0163493617076368,0.996071428571429,TRUE,"Negative"
"Authenticity","Positive - High intensity","Human Forgery - Human Original","precleft",0.42863475025,-0.260313754375,1.17073316315,0.886071428571429,FALSE,"n.s."
"Authenticity","Positive - High intensity","Human Forgery - Human Original","precright",0.206036788,-0.2286801393925,0.736535502025,0.819821428571429,FALSE,"n.s."
"Authenticity","Positive - High intensity","Human Forgery - Human Original","response",-0.0340249952380509,-0.0582633327831903,-0.00966689579559168,0.997321428571429,TRUE,"Negative"
"Authenticity","Positive - Low intensity","AI-Generated - Human Forgery","confleft",-0.00890614773225806,-0.0377945731587681,0.0205635153852416,0.731964285714286,FALSE,"n.s."
