"Participant","Item","Gaze_Entropy","Gaze_Drift","Gaze_pLeft","Gaze_pCenter","Gaze_pTop","Gaze_nSamples"
"S006","31006.jpg",0.802995656125291,0.363803139181562,0.377622377622378,0.755244755244755,0.482517482517482,143
"S006","40207.jpg",0.787082479044968,0.301878513100269,0.470149253731343,0.805970149253731,0.664179104477612,134
"S006","40215.jpg",0.771113108188627,0.113700032317044,0.335664335664336,0.594405594405594,0.601398601398601,143
"S006","40224.jpg",0.794355154225073,0.226139475313704,0.261904761904762,0.273809523809524,0.821428571428571,84
"S006","40229.jpg",0.824501791278998,0.845052629719093,0.807228915662651,0.204819277108434,0.698795180722892,83
"S006","40303.jpg",0.792240690891706,0.504565948642141,0.360544217687075,0.877551020408163,0.238095238095238,147
"S006","40309.jpg",0.786118096834478,0.345231882601945,0.207547169811321,0.528301886792453,0.943396226415094,53
"S006","40716.jpg",0.828218416099611,0.275518885468655,0.0431654676258993,0.151079136690647,1,139
"S006","41026.jpg",0.81986606849991,0.198280357040497,0.395522388059701,0.626865671641791,0.917910447761194,134
"S006","50815.jpg",0.803418611626538,0.227886202134388,0.431654676258993,0.0647482014388489,0.899280575539568,139
"S006","50937.jpg",0.822724771825379,0.122183570918051,0.579310344827586,0.986206896551724,0.772413793103448,145
"S006","51003.jpg",0.696024253601386,0.952078743582334,0.299145299145299,0.0683760683760684,0.837606837606838,117
"S006","51204.jpg",0.703446871591964,0.853755803170919,0.327586206896552,0.155172413793103,0.775862068965517,58
"S006","51208.jpg",0.850890142895535,0.404325249003286,0.325,0.183333333333333,0.833333333333333,120
"S006","51322.jpg",0.833797505809383,0.206555575179242,0.246031746031746,0.317460317460317,0.849206349206349,126
