"Model","Parameter","Contrast","At","Moderator","Median","CI_low","CI_high","pd","Table"
"BeautySRBetween","response","AI-Generated - Human Original","Low",-0.227550940030373,-6.51093587524793,-8.3287208154864,-4.77136414311461,1,"Gap"
"BeautySRBetween","response","AI-Generated - Human Original","Average",0,-6.89588659359911,-8.27483061455482,-5.50357886215089,1,"Gap"
"BeautySRBetween","response","AI-Generated - Human Original","High",0.227550940030373,-6.33230253817106,-7.9879977798907,-4.7436191697473,1,"Gap"
"BeautySRBetween","response","AI-Generated - Human Original","High - Low",NA,0.148167078024275,-2.25283843704341,2.51898029199779,0.54075,"Gap"
"BeautySRBetween","response","Human Forgery - Human Original","Low",-0.227550940030373,-3.24922384567662,-4.96759623789964,-1.53416191586617,0.99975,"Gap"
"BeautySRBetween","response","Human Forgery - Human Original","Average",0,-3.47952427330095,-4.71542568725231,-2.26864452761208,1,"Gap"
"BeautySRBetween","response","Human Forgery - Human Original","High",0.227550940030373,-3.66002220078852,-5.12784802202406,-2.28107342607202,1,"Gap"
"BeautySRBetween","response","Human Forgery - Human Original","High - Low",NA,-0.395563799326548,-2.57531944234658,1.8488443884251,0.6355,"Gap"
"BeautySRBetween","response","AI-Generated - Human Forgery","Low",-0.227550940030373,-3.23467587256131,-5.17414513220206,-1.49589510351968,1,"Gap"
"BeautySRBetween","response","AI-Generated - Human Forgery","Average",0,-3.41599983497281,-4.83737945293023,-1.97678148508905,1,"Gap"
"BeautySRBetween","response","AI-Generated - Human Forgery","High",0.227550940030373,-2.70053428861193,-4.4344707196238,-0.880567679924893,0.99925,"Gap"
"BeautySRBetween","response","AI-Generated - Human Forgery","High - Low",NA,0.536155984581982,-1.95978618439814,2.94309816443419,0.656,"Gap"
"BeautySRBetween","response","Human Original",NA,NA,3.12751717957516,2.59237857336048,3.64894473942345,1,"SR slope"
"BeautySRBetween","response","Human Forgery",NA,NA,3.05843648602183,2.55225445477392,3.58354677579498,1,"SR slope"
"BeautySRBetween","response","AI-Generated",NA,NA,3.19866372963326,2.70763922274259,3.71418229859433,1,"SR slope"
"BeautySRBetween","response","AI-Generated - Human Original",NA,NA,0.0771544884719255,-0.516810172698834,0.641980901388228,0.5985,"SR slope"
"BeautySRBetween","response","Human Forgery - Human Original",NA,NA,-0.0645979503309524,-0.576837200465641,0.491008615419619,0.59775,"SR slope"
"BeautySRBetween","response","AI-Generated - Human Forgery",NA,NA,0.141602057317364,-0.473759042992739,0.733129022842949,0.6705,"SR slope"
"BeautySRBetween","response","Human Original",NA,NA,1.80524473805916,1.02971906731224,2.67545362978219,1,"SR_b slope"
"BeautySRBetween","response","Human Forgery",NA,NA,1.89212150690411,1.10968114116542,2.75114248012431,1,"SR_b slope"
"BeautySRBetween","response","AI-Generated",NA,NA,2.32099382705213,1.45279694635544,3.23794770850292,1,"SR_b slope"
"BeautySRBetween","response","AI-Generated - Human Original",NA,NA,0.530644938097047,-0.1215865199795,1.16414826606447,0.9425,"SR_b slope"
"BeautySRBetween","response","Human Forgery - Human Original",NA,NA,0.100169788627696,-0.466951622225642,0.718425271469225,0.63525,"SR_b slope"
"BeautySRBetween","response","AI-Generated - Human Forgery",NA,NA,0.429883747401849,-0.238079462613055,1.15785795397775,0.89275,"SR_b slope"
"BeautySRBetween","mu","AI-Generated - Human Original","Low",-0.227550940030373,-14.6747488349395,-19.1229104240516,-9.33626978017403,1,"Gap"
"BeautySRBetween","mu","AI-Generated - Human Original","Average",0,-13.5717772927558,-17.4694343118932,-9.54475866867305,1,"Gap"
"BeautySRBetween","mu","AI-Generated - Human Original","High",0.227550940030373,-9.62382549116516,-14.1450672815236,-4.90056887088952,1,"Gap"
"BeautySRBetween","mu","AI-Generated - Human Original","High - Low",NA,5.04397263690896,-1.55631862090272,11.8112731582334,0.92425,"Gap"
"BeautySRBetween","mu","Human Forgery - Human Original","Low",-0.227550940030373,-6.2777690738842,-11.3390544730846,-1.92788567565855,0.99325,"Gap"
"BeautySRBetween","mu","Human Forgery - Human Original","Average",0,-5.48068273761191,-8.91335344454544,-2.0913371592776,0.99925,"Gap"
"BeautySRBetween","mu","Human Forgery - Human Original","High",0.227550940030373,-3.77647431460587,-7.59232106242996,0.257101663039316,0.9725,"Gap"
"BeautySRBetween","mu","Human Forgery - Human Original","High - Low",NA,2.49795706369848,-3.9313047318554,8.50438799771373,0.7775,"Gap"
"BeautySRBetween","mu","AI-Generated - Human Forgery","Low",-0.227550940030373,-8.38469033247363,-13.2660583137637,-3.07538645142067,0.999,"Gap"
"BeautySRBetween","mu","AI-Generated - Human Forgery","Average",0,-8.09542397113137,-11.9905581826538,-3.69620389046368,0.99975,"Gap"
"BeautySRBetween","mu","AI-Generated - Human Forgery","High",0.227550940030373,-5.7733384876821,-10.8588132763591,-1.04396410448181,0.99325,"Gap"
"BeautySRBetween","mu","AI-Generated - Human Forgery","High - Low",NA,2.46460030709717,-4.01752555925801,9.78565030204782,0.75825,"Gap"
"BeautySRBetween","mu","Human Original",NA,NA,7.01636553706647,5.51569054799872,8.49460651639156,1,"SR slope"
"BeautySRBetween","mu","Human Forgery",NA,NA,7.61171439865349,6.13506243783313,9.05245280169953,1,"SR slope"
